City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
377,kristiansund,63.1115,7.732,5.36,65,0,8.75,NO,1699639800
378,tofol,5.3248,163.0078,28.51,80,100,6.94,FM,1699639800
379,mata-utu,-13.2816,-176.1745,27.76,81,100,4.56,WF,1699639800
380,amursk,50.2261,136.8994,-5.57,74,100,4.47,RU,1699639800
381,waiuku,-37.25,174.75,13.51,92,0,0.93,NZ,1699639691
382,beihai,21.4833,109.1,25.72,90,21,4.45,CN,1699639800
383,vicksburg,32.3526,-90.8779,14.13,94,75,4.63,US,1699639801
384,burley,42.5357,-113.7928,7.33,56,100,6.71,US,1699639564
385,igarka,67.4667,86.5833,-7.74,94,100,8.73,RU,1699639801
386,urangan,-25.3,152.9,21.2,77,7,2.87,AU,1699639801
387,kijang,35.2442,129.2139,8.5,29,76,3.57,KR,1699639801
388,kirakira,-10.4544,161.9205,26.2,88,100,4.67,SB,1699639802
389,hami,42.8,93.45,2.73,27,31,0.94,CN,1699639802
390,nadym,65.5333,72.5167,-7.42,93,33,4.27,RU,1699639802
391,howrah,22.5892,88.3103,24.0,78,1,0.0,IN,1699639584
392,mil'kovo,55.6078,37.7956,6.22,88,62,3.74,RU,1699639804
393,walvis bay,-22.9575,14.5053,16.16,81,100,2.97,NA,1699639804
394,langepas,61.2544,75.2124,-7.16,97,99,1.11,RU,1699639805
395,ban dan lan hoi,17.0068,99.575,24.41,92,87,0.93,TH,1699639805
396,constantia,44.1833,28.65,14.38,67,83,7.16,RO,1699639805
397,benin city,6.335,5.6275,25.21,93,97,2.01,NG,1699639594
398,longonjo,-12.9067,15.2533,22.2,69,80,0.3,AO,1699639806
399,paita,-5.0892,-81.1144,23.24,69,32,8.39,PE,1699639806
400,buala,-8.145,159.5921,25.41,91,100,2.37,SB,1699639806
401,cidade velha,14.9167,-23.6167,27.26,54,75,7.72,CV,1699639807
402,cambria,35.5641,-121.0808,21.39,68,100,1.34,US,1699639807
403,geraldton,-28.7667,114.6,16.23,77,99,7.2,AU,1699639704
404,port augusta,-32.5,137.7667,18.08,82,64,8.25,AU,1699639807
